year_week_num,category,store, sales,volume
201932,SPIRITS,Store 4," € 13,422.33 ",849
202214,BEER&CIDER,Store 2," € 30,443.66 ",3025
202016,SPIRITS,Store 2," € 33,801.30 ",2271
202233,WINES,Store 8," € 12,082.81 ",1404
201737,BEER&CIDER,Store 1," € 22,239.01 ",5564
201728,BEER&CIDER,Store 2," € 15,844.66 ",2938
202013,SPIRITS,Store 3," € 37,758.41 ",3631
202119,BEER&CIDER,Store 4," € 22,796.80 ",3259
202201,WINES,Store 3," € 25,462.41 ",2765
201808,SPIRITS,Store 11," € 1,563.03 ",121
202243,BEER&CIDER,Store 1," € 108,661.19 ",8502
201710,SPIRITS,Store 10," € 6,137.30 ",416
202052,SPIRITS,Store 13," € 1,993.51 ",130
201937,SPIRITS,Store 1," € 19,561.62 ",1265
201718,BEER&CIDER,Store 2," € 23,813.14 ",8294
202126,BEER&CIDER,Store 10," € 11,176.71 ",1300
202206,WINES,Store 10," € 14,892.80 ",1647
202204,BEER&CIDER,Store 11," € 3,175.55 ",433
202243,WINES,Store 2," € 135,302.18 ",14404
201907,SPIRITS,Store 11," € 2,343.99 ",173
201913,BEER&CIDER,Store 3," € 28,611.79 ",8069
201902,WINES,Store 4," € 24,766.21 ",2981
201735,SPIRITS,Store 3," € 21,318.61 ",1222
202230,SPIRITS,Store 4," € 18,645.29 ",1083
202243,WINES,Store 1," € 126,715.59 ",12731
202103,SPIRITS,Store 8," € 15,718.56 ",1101
202218,WINES,Store 9," € 15,142.31 ",1551
202224,SPIRITS,Store 12," € 2,236.26 ",208
202107,SPIRITS,Store 10," € 13,386.36 ",971
202045,WINES,Store 2," € 22,636.29 ",2678
202116,WINES,Store 10," € 13,854.19 ",1603
201928,SPIRITS,Store 10," € 7,281.47 ",485
202106,WINES,Store 12," € 4,730.96 ",563
202021,SPIRITS,Store 13," € 1,680.55 ",121
201901,BEER&CIDER,Store 4," € 13,386.10 ",2600
202209,SPIRITS,Store 9," € 10,649.86 ",685
202026,SPIRITS,Store 2," € 22,812.05 ",1551
201907,BEER&CIDER,Store 2," € 24,418.16 ",12766
202217,WINES,Store 10," € 13,447.29 ",1447
201932,WINES,Store 13," € 3,358.94 ",416
202125,SPIRITS,Store 12," € 2,050.10 ",156
201737,BEER&CIDER,Store 12," € 2,146.73 ",598
